datetime,plotcode,A,B
2021-01-05 16:00:00,1A22M,2.700000000000001,3.0900000000000007
2021-01-05 16:30:00,1A22M,2.700000000000001,3.0900000000000007
2021-01-05 17:00:00,1A22M,2.699666666666668,3.0900000000000007
2021-01-05 17:30:00,1A22M,2.6923333333333326,3.0896666666666674
2021-01-05 13:00:00,2A01M,1.1756666666666669,1.8400000000000007
2021-01-05 13:30:00,2A01M,1.2209999999999999,1.8400000000000007
2021-01-05 14:00:00,2A01M,1.243333333333333,1.8476666666666672
2021-01-05 14:30:00,2A01M,1.2299999999999998,1.855
2021-01-05 15:00:00,2A01M,1.2366666666666668,1.86
2021-01-05 15:30:00,2A01M,1.254333333333333,1.861333333333333
2021-01-05 16:00:00,2A01M,1.2516666666666667,1.8696666666666664
2021-01-05 16:30:00,2A01M,1.2326666666666666,1.87
2021-01-05 17:00:00,2A01M,1.2009999999999998,1.8726666666666665
2021-01-05 17:30:00,2A01M,1.1733333333333331,1.873666666666666
2021-01-05 13:00:00,2A02M,2.471333333333334,3.0600000000000005
2021-01-05 13:30:00,2A02M,2.4923333333333337,3.0600000000000005
2021-01-05 14:00:00,2A02M,2.5090000000000003,3.0600000000000005
2021-01-05 14:30:00,2A02M,2.51,3.0600000000000005
2021-01-05 15:00:00,2A02M,2.51,3.0600000000000005
2021-01-05 15:30:00,2A02M,2.51,3.0600000000000005
2021-01-05 16:00:00,2A02M,2.51,3.0600000000000005
2021-01-05 16:30:00,2A02M,2.507,3.0600000000000005
2021-01-05 17:00:00,2A02M,2.4913333333333343,3.0600000000000005
2021-01-05 17:30:00,2A02M,2.474333333333333,3.0600000000000005
2021-01-05 13:00:00,2A03M,2.1086666666666667,2.650000000000001
2021-01-05 13:30:00,2A03M,2.116,2.650000000000001
2021-01-05 14:00:00,2A03M,2.125333333333334,2.650000000000001
2021-01-05 14:30:00,2A03M,2.1303333333333336,2.6496666666666675
2021-01-05 15:00:00,2A03M,2.1386666666666665,2.650000000000001
2021-01-05 15:30:00,2A03M,2.14,2.6496666666666675
2021-01-05 16:00:00,2A03M,2.1403333333333334,2.650000000000001
2021-01-05 16:30:00,2A03M,2.140333333333333,2.650000000000001
2021-01-05 17:00:00,2A03M,2.14,2.650000000000001
2021-01-05 17:30:00,2A03M,2.132333333333334,2.650000000000001
2021-01-05 13:00:00,2A04M,,1.3456666666666668
2021-01-05 13:30:00,2A04M,,1.3716666666666673
2021-01-05 14:00:00,2A04M,,1.4016666666666662
2021-01-05 14:30:00,2A04M,,1.4140000000000004
2021-01-05 15:00:00,2A04M,,1.4216666666666666
2021-01-05 15:30:00,2A04M,,1.4336666666666664
2021-01-05 16:00:00,2A04M,,1.4416666666666669
2021-01-05 16:30:00,2A04M,,1.4469999999999996
2021-01-05 17:00:00,2A04M,,1.4389999999999998
2021-01-05 17:30:00,2A04M,,1.4263333333333337
2021-01-05 13:00:00,2A05M,1.2719999999999996,1.7443333333333333
2021-01-05 13:30:00,2A05M,1.3293333333333337,1.7533333333333332
2021-01-05 14:00:00,2A05M,1.2980000000000005,1.7656666666666674
2021-01-05 14:30:00,2A05M,1.2873333333333328,1.778
2021-01-05 15:00:00,2A05M,1.3086666666666669,1.7846666666666664
2021-01-05 15:30:00,2A05M,1.3210000000000004,1.7899999999999998
2021-01-05 16:00:00,2A05M,1.2906666666666669,1.7993333333333328
2021-01-05 16:30:00,2A05M,1.254333333333333,1.7999999999999996
2021-01-05 17:00:00,2A05M,1.2036666666666664,1.7999999999999996
2021-01-05 17:30:00,2A05M,1.1893333333333331,1.7999999999999996
2021-01-05 13:00:00,2A06M,1.6590000000000005,2.48
2021-01-05 13:30:00,2A06M,1.6896666666666669,2.477666666666667
2021-01-05 14:00:00,2A06M,1.7169999999999996,2.48
2021-01-05 14:30:00,2A06M,1.7193333333333334,2.48
2021-01-05 15:00:00,2A06M,1.7199999999999998,2.486333333333333
2021-01-05 15:30:00,2A06M,1.7283333333333326,2.49
2021-01-05 16:00:00,2A06M,1.729999999999999,2.49
2021-01-05 16:30:00,2A06M,1.7239999999999998,2.4906666666666664
2021-01-05 17:00:00,2A06M,1.7066666666666672,2.4956666666666667
2021-01-05 17:30:00,2A06M,1.6863333333333332,2.4943333333333326
2021-01-05 13:00:00,2A07M,1.105666666666667,1.82
2021-01-05 13:30:00,2A07M,1.1510000000000002,1.82
2021-01-05 14:00:00,2A07M,1.1633333333333329,1.8293333333333333
2021-01-05 14:30:00,2A07M,1.1499999999999997,1.835333333333334
2021-01-05 15:00:00,2A07M,1.1613333333333336,1.8400000000000007
2021-01-05 15:30:00,2A07M,1.1769999999999998,1.8486666666666671
2021-01-05 16:00:00,2A07M,1.1646666666666663,1.8503333333333336
2021-01-05 16:30:00,2A07M,1.1463333333333332,1.8596666666666664
2021-01-05 17:00:00,2A07M,1.1106666666666671,1.86
2021-01-05 17:30:00,2A07M,1.0869999999999995,1.86
2021-01-05 13:00:00,2A08M,,1.8800000000000003
2021-01-05 13:30:00,2A08M,,1.8800000000000003
2021-01-05 14:00:00,2A08M,,1.8803333333333336
2021-01-05 14:30:00,2A08M,,1.8893333333333333
2021-01-05 15:00:00,2A08M,,1.8940000000000001
2021-01-05 15:30:00,2A08M,,1.9
